Date,Game,Place,My Time,Avg Time,Diff vs Avg (sec)
14/09/2026,Zip,5,00:09,00:11,-2
14/09/2026,Patches,5,00:09,00:15,-6
14/09/2026,Mini Sudoku,17,00:53,01:08,-15
14/09/2026,Tango,11,00:27,00:37,-10
14/09/2026,Queens,3,00:09,00:29,-20
14/09/2026,Wend,12,00:24,00:29,-5
15/09/2026,Zip,4,00:10,00:21,-11
15/09/2026,Patches,5,00:13,00:22,-9
15/09/2026,Mini Sudoku,11,00:45,01:07,-22
15/09/2026,Tango,8,00:27,00:59,-32
15/09/2026,Queens,2,00:07,00:38,-31
15/09/2026,Wend,19,00:59,00:48,11
16/09/2026,Zip,3,00:05,00:10,-5
16/09/2026,Patches,5,00:12,00:30,-18
16/09/2026,Mini Sudoku,17,01:12,01:35,-23
16/09/2026,Tango,8,00:27,00:48,-21
16/09/2026,Queens,4,00:10,00:37,-27
16/09/2026,Wend,16,00:59,01:01,-2
17/09/2026,Zip,28,01:04,00:44,20
17/09/2026,Patches,8,00:18,00:30,-12
17/09/2026,Mini Sudoku,14,01:25,02:04,-39
17/09/2026,Tango,9,00:27,00:46,-19
17/09/2026,Queens,13,00:32,00:47,-15
17/09/2026,Wend,15,01:22,01:37,-15
18/09/2026,Zip,1,00:04,00:14,-10
18/09/2026,Patches,10,00:24,00:48,-24
18/09/2026,Mini Sudoku,13,01:24,02:01,-37
18/09/2026,Tango,8,00:36,01:13,-37
18/09/2026,Queens,14,01:18,01:59,-41
18/09/2026,Wend,11,00:53,01:25,-32
19/09/2026,Zip,14,00:32,01:04,-32
19/09/2026,Patches,13,00:47,01:18,-31
19/09/2026,Mini Sudoku,14,01:28,01:57,-29
19/09/2026,Tango,20,00:46,01:11,-25
19/09/2026,Queens,23,01:56,02:08,-12
19/09/2026,Wend,20,01:44,01:36,8
20/09/2026,Zip,16,00:25,00:35,-10
20/09/2026,Patches,5,00:20,00:57,-37
20/09/2026,Mini Sudoku,17,02:36,02:37,-1
20/09/2026,Tango,10,00:40,01:19,-39
20/09/2026,Queens,13,02:17,03:15,-58
20/09/2026,Wend,17,02:08,02:28,-20
21/09/2026,Zip,4,00:06,00:10,-4
21/09/2026,Patches,3,00:07,00:19,-12
21/09/2026,Mini Sudoku,11,00:55,01:04,-9
21/09/2026,Tango,3,00:22,00:41,-19
21/09/2026,Queens,2,00:09,00:42,-33
21/09/2026,Wend,21,01:06,00:40,26
22/09/2026,Zip,3,00:06,00:17,-11
22/09/2026,Patches,7,00:11,00:16,-5
22/09/2026,Mini Sudoku,32,01:34,01:38,-4
22/09/2026,Tango,8,00:28,00:49,-21
22/09/2026,Queens,4,00:13,00:37,-24
22/09/2026,Wend,19,00:53,00:59,-6
23/09/2026,Zip,12,00:20,00:40,-20
23/09/2026,Patches,10,00:18,00:23,-5
23/09/2026,Mini Sudoku,25,02:40,01:50,50
23/09/2026,Tango,7,00:28,00:56,-28
23/09/2026,Queens,8,00:22,00:49,-27
23/09/2026,Wend,12,01:07,01:19,-12
24/09/2026,Zip,3,00:06,00:13,-7
24/09/2026,Patches,4,00:11,00:37,-26
24/09/2026,Mini Sudoku,9,00:53,01:46,-53
24/09/2026,Tango,14,00:35,01:01,-26
24/09/2026,Queens,12,00:47,01:33,-46
24/09/2026,Wend,8,00:55,01:37,-42
